feature,importance
mean_CDR3_len,0.15877335662934516
V_entropy,0.15387212250865778
Shannon,0.14688925826104077
top5,0.13701867047371785
top1,0.13698936402915393
invSimpson,0.1355161555103484
S,0.13094107258773618
