model,var_patient,var_residual,ICC,AIC,BIC
Shannon ~ 1,2.835963168543446,0.6133411080330022,0.8221841105181465,,
Shannon ~ subset,2.8944439427061672,0.5892574407510982,0.8308530565939861,,
Shannon ~ compartment,2.8055575790257232,0.6246949505317411,0.8178866001412634,,
Shannon ~ subset + compartment,2.874961379501123,0.5991694564324294,0.8275339977887093,,
